Feature,Importance
tp_LCA,0.028162027419274364
t2m_BRA,0.028062827139419353
t2m_BLZ,0.027961206908947676
tp_UGA,0.027743882836246212
tp_MAR,0.02774124201778648
t2m_BDI,0.027728261626978525
tp_UKR,0.02748333276685083
tp_UZB,0.02741801843286978
tp_CAF,0.027398404897678558
tp_SDN,0.0273832552097725
t2m_ZAF,0.027277272702287518
tp_KGZ,0.027261622738523623
tp_SLB,0.026910126334311585
tp_EST,0.02690020065516895
t2m_NCL,0.026860844569533467
tp_SWE,0.026787358505754345
tp_DOM,0.026469237958145535
tp_BOL,0.02640797383820457
t2m_SWZ,0.02631272504603155
tp_MDA,0.026274219864668866
tp_VNM,0.026196682696894066
tp_LKA,0.026065950186779777
tp_MDV,0.02600212533657069
tp_STP,0.02598449707208346
tp_PRI,0.025924926826515125
tp_NIC,0.025874118955334802
tp_PAK,0.025855693811535733
tp_CIV,0.025808564371001985
tp_ESP,0.025804973153080692
tp_LBR,0.02579176421560467
tp_SLE,0.025757752196971868
tp_BLR,0.025700105998743915
tp_BGD,0.02569172384850537
tp_HND,0.025683030186986408
tp_GRC,0.025670043720756666
affected_ALB,0.025658572172074914
t2m_PRI,0.02553398102053553
tp_TTO,0.025499120097796476
tp_SLV,0.0254660095427145
t2m_NZL,0.02545217820428493
tp_DZA,0.02542787722920681
tp_BWA,0.02533668055147046
tp_ZMB,0.025267415920555383
t2m_FJI,0.025261377067660594
deaths_KEN,0.025256086390266285
tp_KWT,0.025241392216345467
tp_AZE,0.02523931045205777
tp_HTI,0.02519015423292821
tp_IRL,0.025163682685366836
tp_AGO,0.025003420478118724
tp_IND,0.024981366305954638
tp_PRT,0.024897264265787863
tp_TLS,0.024883086421303734
tp_POL,0.02485755167805986
t2m_BHS,0.02473965376046356
tp_MMR,0.02473767019110525
affected_SWZ,0.024704792830653934
tp_TON,0.024649046084717904
tp_KHM,0.024613983972871352
t2m_MRT,0.024481907724507635
tp_VCT,0.02444622519222341
tp_SWZ,0.024423053558343306
tp_SSD,0.02441272938931939
tp_IDN,0.02436323038854356
tp_PRK,0.02433845436103686
t2m_URY,0.024270577011706564
tp_PLW,0.024145888599291173
deaths_BOL,0.024122351579431163
tp_IRN,0.02401828989087051
tp_SVN,0.02399628687659243
tp_MRT,0.02397404205255045
tp_NGA,0.023917396534915567
tp_CHE,0.023799335123761717
affected_UGA,0.023617486051840067
tp_CPV,0.023617275106672945
tp_BLZ,0.02351524666312395
tp_COM,0.023484588667595473
deaths_BEL,0.0234517553606997
tp_AUT,0.023448680493335965
damage_BOL,0.023409313687747544
tp_JAM,0.023344365441459416
tp_CYP,0.023327418880056565
tp_YEM,0.023314824010142586
tp_BEN,0.023313030862878736
tp_LTU,0.02330759644349896
tp_TGO,0.0232741246138366
deaths_ECU,0.023252894296540223
tp_DNK,0.023250317643472337
tp_RWA,0.02321739321971893
deaths_URY,0.02307636415475707
deaths_CRI,0.02302078629660826
tp_THA,0.02290945360520273
tp_VUT,0.022836526927703295
