Feature,Importance
tp_TON,0.02902271265832939
tp_BDI,0.02895794136314405
tp_ESH,0.028943242152610477
tp_ARE,0.02891368718760173
tp_MDG,0.028859389696028605
tp_NOR,0.028777287173225804
tp_AUS,0.02864717208873563
tp_KOR,0.028551277411176457
t2m_PLW,0.028536867572969568
tp_SLV,0.028525946966732656
tp_GIN,0.02848680429164648
tp_PLW,0.028468217948417317
affected_MHL,0.028413757307218523
affected_ARE,0.02838979556944892
t2m_VUT,0.028356617490072684
tp_RWA,0.028302660414973656
damage_UGA,0.028213621514653526
tp_VCT,0.028061000039905394
tp_PRK,0.028051467893420466
tp_AFG,0.028042488787128148
deaths_KEN,0.02802824156106084
tp_BLZ,0.02802178351398772
damage_JPN,0.028008036803311945
tp_CHL,0.027984010257215183
tp_BHS,0.027973464400473783
affected_CRI,0.027958801362283275
deaths_BEL,0.02795821773942226
affected_CHL,0.02793256781192289
tp_HUN,0.02790931094105151
deaths_BOL,0.027884130957390865
affected_ALB,0.027835919736529113
tp_CYP,0.027835703530625793
t2m_SOM,0.027826455211658427
tp_UKR,0.027805976836053223
t2m_MMR,0.02777793206615044
damage_DZA,0.027767431454995443
deaths_MNG,0.027746033132182053
tp_PAK,0.027657747932360224
damage_HRV,0.027645177669847358
affected_UGA,0.027641980461845822
t2m_COL,0.027607942569590822
tp_WSM,0.02759900277971175
t2m_BEN,0.027597860034745708
t2m_COG,0.027585076388820958
tp_PNG,0.027546974007142302
affected_CYP,0.027544642903814438
tp_KHM,0.027494480667401407
tp_OMN,0.02748367493053919
t2m_PAN,0.027446082431474166
deaths_ARG,0.027407054114696336
deaths_NLD,0.027371666276515504
tp_TUV,0.0273665793440958
t2m_ATF,0.027341274885359982
tp_NPL,0.027306645500769552
tp_PYF,0.027294173141499834
t2m_TON,0.027257718612987352
deaths_DZA,0.027227353448795663
tp_MHL,0.027200368556434002
tp_MDA,0.027162035872806772
affected_HRV,0.027140298444218825
damage_CHL,0.027097796835397803
tp_TUN,0.027078504654324355
tp_BTN,0.027012831311761548
tp_LVA,0.026981918565122297
affected_SEN,0.026970208089705537
tp_CHE,0.0269546815420784
deaths_UZB,0.02693166710745428
tp_COM,0.026809594401754715
tp_FRA,0.02680011267422378
tp_NGA,0.02678706983668331
tp_GEO,0.026773107532204278
tp_URY,0.026746750968571927
t2m_NGA,0.026743726049884207
tp_IRL,0.02672573421829756
t2m_VNM,0.02663816017578081
t2m_ERI,0.02662389765875933
affected_TZA,0.02658752485051477
tp_CPV,0.026572009059831803
tp_NAM,0.026564974041205128
tp_FSM,0.02654948269903944
t2m_PNG,0.026532049210407686
tp_ROU,0.026523367442623968
tp_MNE,0.026494732686082094
damage_IND,0.026447295227139504
affected_BRA,0.026430950786605012
affected_VUT,0.02631329025524493
affected_PRK,0.026289199955418355
t2m_MYS,0.026283867647802127
deaths_TJK,0.026283275526864963
affected_BGD,0.026278868107484733
deaths_TUR,0.026276651232676137
tp_AZE,0.026248398201979876
deaths_CRI,0.026233361312881003
damage_RWA,0.026229846031097917
t2m_GNQ,0.026186556207431707
damage_VUT,0.026185438029628656
deaths_CMR,0.026185016804142876
damage_TZA,0.026103231895423244
t2m_TUV,0.026053967470086724
damage_ETH,0.025979001131494334
tp_TLS,0.025934977505966877
tp_MAR,0.025882605452895245
tp_TJK,0.025871770310234132
t2m_CRI,0.025838957976023667
tp_SLB,0.025828601851573606
damage_CZE,0.025795592938619955
damage_PRT,0.025778179060897327
tp_DZA,0.02576170126362836
affected_GBR,0.025759058995745602
deaths_SSD,0.02575101861761083
tp_THA,0.025688171016112708
affected_HUN,0.025675463308961904
tp_STP,0.025583972451929553
affected_ZAF,0.025551198263162586
damage_LKA,0.025542296890523453
tp_SLE,0.025532737617689993
tp_AUT,0.025493929424934073
tp_NCL,0.025480679371830073
tp_ARM,0.025406716000448734
damage_GBR,0.025361335119700453
tp_TZA,0.025342837709208765
t2m_CMR,0.025326763073894094
affected_ERI,0.025303637667600486
tp_GTM,0.025268622150159726
tp_BGD,0.025259888767890613
t2m_GAB,0.025258064757490904
affected_AFG,0.02523776670849143
deaths_ITA,0.025231536261401386
deaths_IND,0.025173722773260934
tp_SVK,0.025150556800555716
damage_GLP,0.02512330933829695
tp_CMR,0.025094424505610044
tp_BEL,0.025053336463040973
t2m_SLV,0.025050710725121033
damage_PRY,0.025040197674981963
tp_ISR,0.025036704142498537
tp_LTU,0.024968168546549794
damage_LUX,0.024952042147732546
affected_SCG,0.024947018612403574
tp_PRT,0.024929507408319798
affected_SLV,0.024917008401184233
tp_TWN,0.024854301768486953
t2m_SYC,0.02482111857894242
affected_LKA,0.0248077555661422
affected_CHE,0.024805221395773805
deaths_DJI,0.02479536991829792
tp_PER,0.024769260063600616
tp_JAM,0.02476581829381862
tp_ETH,0.024765738931849687
t2m_TGO,0.024764888890988556
tp_BWA,0.02473316812215884
deaths_PRY,0.024720743173023987
deaths_JAM,0.024709744509202356
damage_BRA,0.02470307814614896
tp_MWI,0.02469784457798636
t2m_GIN,0.024669099854979018
tp_MMR,0.024655192927202023
deaths_BWA,0.02458346700603796
affected_KEN,0.024577689834790754
damage_NLD,0.024541002078516637
damage_CHE,0.024532565884583364
damage_SUR,0.024528439561218345
tp_HRV,0.024522279219409526
damage_MDA,0.02447422548552855
t2m_SSD,0.024458097891542085
deaths_IRQ,0.02444431546152647
t2m_SDN,0.02443748825543232
tp_UZB,0.024403854099974306
tp_QAT,0.024344529094278856
deaths_AGO,0.024333309559879945
tp_DEU,0.02431007884049191
damage_LAO,0.02429416707569644
affected_BOL,0.024256109334183668
affected_ARG,0.02424277588535658
deaths_RUS,0.02421180259977392
affected_ATG,0.024198441477784462
deaths_CUB,0.024176354940170255
affected_MKD,0.024143883626858972
tp_LKA,0.02412523834037788
affected_DZA,0.02411720757331441
tp_MNG,0.02411508970699657
tp_FLK,0.02411467183221436
deaths_LSO,0.024109088998212746
deaths_MAR,0.02408202981395593
deaths_ARM,0.024074966284083284
damage_YEM,0.024062528948574084
damage_MHL,0.02405172424495471
affected_BFA,0.024028251157319654
affected_MNE,0.024027244097354607
deaths_KGZ,0.024003958838925674
t2m_VCT,0.0240002602492386
t2m_PRY,0.023982093725171405
deaths_TZA,0.023935592661989472
damage_PAN,0.023828648984512067
damage_VNM,0.023788684857376768
tp_MDV,0.023767231524909595
deaths_GHA,0.02374102197982482
damage_FSM,0.02367984087381424
tp_VUT,0.02366261509545236
damage_PER,0.023658736081487126
deaths_MWI,0.023624361639444924
tp_PRY,0.023608884213896123
damage_SEN,0.023517136137397934
damage_CRI,0.02349538792974349
damage_TON,0.02346791697725664
deaths_MRT,0.023465898214695365
tp_JOR,0.023465750527086954
tp_GNQ,0.023459465482732794
affected_AZE,0.023433404405134632
t2m_GHA,0.023403765826750435
deaths_AFG,0.023398702395929595
tp_SYC,0.023397431909018798
deaths_LAO,0.02336169051578397
damage_MRT,0.02335674084814983
t2m_PHL,0.023333191277260586
affected_BWA,0.023326914463767903
deaths_BGD,0.0233161288861957
